Region, School/Collage/University, Website, Street, Address, Phone Number
Montana, HELENA COLLEGE UNIVERSITY OF MONTANA, http://www.umhelena.edu/, AERO DIVISION, HELENA | MT 59601-1209, (406)447-6926
Nebraska, WESTERN NEBRASKA COMMUNITY COLLEGE, http://www.wncc.edu/, 11145 ROAD 16, SIDNEY | NE 69162, (308)254-7404
Nevada, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 5870 S. EASTERN AVE, LAS VEGAS | NV 89119, (757)721-7767
New Hampshire, NASHUA COMMUNITY COLLEGE, http://www.nashuacc.edu/, PO BOX 2052, NASHUA | NH 03061, (603)882-6923
New Jersey, TETERBORO SCHOOL OF AERONAUTICS INC, http://www.teterboroschool.com/, TETERBORO ARPT, TETERBORO | NJ 07608, (201)288-6300
New Mexico, CENTRAL NEW MEXICO COMMUNITY COLLEGE, http://www.cnm.edu/, 525 BUENA VISTA DR.SE | ABQ 87106, ALBUQUERQUE | NM 87106, (505)224-3730
New Mexico, EASTERN NEW MEXICO UNIVERSITY, http://www.enmu.edu/, 12 CHALLENGER, ROSWELL | NM 88202, (575)624-7022
New York, LEWIS WILSON TECHNOLOGICAL CENTER, http://www.wilsontech.org/, 7200 REPUBLIC AIRPORT, FARMINGDALE | NY 11735, (631)752-1957
New York, AVIATION TRAINING INSTITUTE AT VAUGHN COLLEGE, http://www.vaughn.edu/ati, 86-01 23RD AVENUE, NEW YORK | NY 11369, (718)429-6600
New York, AVIATION HIGH SCHOOL, http://www.aviationhs.net/, LONG ISLAND CITY |, NEW YORK | NY 11101, (718)361-2032
New York, CV-TEC, https://www.cves.org/, 518 RUGAR STREET, PLATTSBURGH | NY 12901, (518)536-7340
New York, MOHAWK VALLEY COMMUNITY COLLEGE, http://www.mvcc.edu/, 1101 FLOYD AVENUE, ROME | NY 13440, (315)338-7826
North Carolina, COLLEGE OF THE ALBEMARLE, http://www.albemarle.edu/currituck, 107 COLLEGE WAY, BARCO | NC 27917, (252)435-3035
North Carolina, GUILFORD TECHNICAL COMMUNITY COLLEGE, http://home.gtcc.edu/, 819 RADAR ROAD AV-2, GREENSBORO | NC 27409, (336)334-4822
North Carolina, CRAVEN COMMUNITY COLLEGE, http://cravencc.edu/, 303 CUNNINGHAM | BLVD., HAVELOCK | NC 28532, (252)444-0739
North Carolina, WAYNE COMMUNITY COLLEGE, http://www.waynecc.edu/, 240 AVIATION ROAD, PIKEVILLE | NC 27863, (919)739-6819
Ohio, MAHONING COUNTY CAREER AND TECHNICAL CENTER, http://mahoningctc.com/, 300 N PALMYRA RD, CANFIELD | OH 44406, (330)729-4000
Ohio, MIAMI VALLEY CAREER TECHNONOGY CENTER, http://www.mvctc.com/, 6800 HOKE ROAD, CLAYTON | OH 45315, (937)854-6358
Ohio, COLUMBUS STATE COMMUNITY COLLEGE, http://www.cscc.edu/, BOLTON FIELD, COLUMBUS | OH 43228, (614)287-5032
Ohio, SINCLAIR COMMUNITY COLLEGE, https://www.sinclair.edu/, 444 WEST THIRD STREET, DAYTON | OH 45402, (937)512-2918
Ohio, CINCINNATI STATE TECHNICAL AND COMMUNITY COLLEGE, http://www.cincinnatistate.edu/, 10030 WEST ROAD, HARRISON | OH 45030, (513)569-1500
Ohio, TOLEDO PUBLIC SCHOOLS AEROSPACE CENTER, http://www.pia.edu/, 11791 W. AIRPORT SERVICE ROAD, SWANTON | OH 43558, (419)671-8303
Ohio, PITTSBURGH INSTITUTE OF AERONAUTICS, http://www.greatoaks.com/Pages/default.aspx, 1453 YOUNGSTOWN-KINGSVILLE RD NE, VIENNA | OH 44473, (412)346-2041
Ohio, GREAT OAKS JOINT VOCATIONAL SCHOOL, http://www.greatoaks.com/Pages/default.aspx, 300 OAK DRIVE, WILMINGTON | OH 45177, (513)612-5780
Oklahoma, SOUTHWEST TECHNOLOGY CENTER, http://www.swtech.edu/, 711 W TAMARACK ROAD, ALTUS | OK 73521, (580)480-4729
Oklahoma, METRO-TECH AVIATION CAREER CENTER, http://www.metrotech.edu/campus/aviation-career-campus, 5600 SOUTH MACARTHUR, OKLAHOMA CITY | OK 73179-8205, (405)424-8324
Oklahoma, CANADIAN VALLEY TECHNOLOGY CENTER, http://cvtech.edu/, 5600 S. MACARTHUR BLVD, OKLAHOMA CITY | OK 73179, (405)262-2629
Oklahoma, GORDON COOPER TECHNOLOGY CENTER, https://www.gctech.edu/, 2600 AIRPORT DRIVE, SHAWNEE | OK 74804, (405)273-7493
Oklahoma, TULSA TECHNOLOGY CENTER, http://tulsatech.edu/, 801 EAST 91ST STREET, TULSA | OK 74132-4008, (918)828-4000
Oklahoma, SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY, http://www.spartan.edu/, 8820 EAST PINE ST, TULSA | OK 74158, (918)836-6886
Oregon, LANE COMMUNITY COLLEGE, https://www.lanecc.edu/, 28735 OLD AIRPORT ROAD, EUGENE | OR 97402, (541)463-5200
Oregon, PORTLAND COMMUNITY COLLEGE, http://www.pcc.edu/, 17705 NW SPRINGVILLE RD, PORTLAND | OR 97229, (971)722-7294
Pennsylvania, PENN COLLEGE OF TECHNOLOGY, https://www.pct.edu/, 500 AIRPORT ROAD, MONTOURSVILLE | PA 17754, (570)327-4516
Pennsylvania, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 3001 GRANT AVE., PHILADELPHIA | PA 19114, (215)676-7700
Pennsylvania, PITTSBURGH INSTITUTE OF AERONAUTICS, http://www.pia.edu/, 5 ALLEGHENY COUNTY AIRPORT, WEST MIFFLIN | PA 15122, (412)346-2100
South Carolina, USAERO TECH INSTITUTE, http://usaerotech.net/, 8 OPPORTUNITY PLACE, GREENVILLE | SC 29607, (864)987-9331
South Carolina, GREENVILLE TECHNICAL COLLEGE, http://www.gvltec.edu/index.aspx, DONALDSON CENTER, GREENVILLE | SC 29606, (864)423-7830
South Carolina, TRIDENT TECHNICAL COLLEGE, http://www.tridenttech.edu/, 1001 SOUTH LIVE OAK DRIVE, MONCKS CORNER | SC 29461, (843)899-8036
South Carolina, PITTSBURGH INSTITUTE OF AERONAUTICS, http://www.pia.edu/, 1038 SHINE AVENUE, MYRTLE BEACH | SC 29577, (412)346-2100
South Dakota, LAKE AREA TECHNICAL INSTITUTE, http://www.lakeareatech.edu/, PO BOX 730, WATERTOWN | SD 57201, (605)882-5284
Tennessee, NORTH CENTRAL INSTITUTE, https://nci.edu/, 168 JACK MILLER BLVD., CLARKSVILLE | TN 37042, (931)431-9700
Tennessee, TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-MEMPHIS, http://www.tcatmemphis.edu/, 3435 TCHULAHOMA ROAD, MEMPHIS | TN 38118, (901)543-6130
Tennessee, TENNESSEE COLLEGE OF APPLIED TECHNOLOGY -MORRISTOWN, http://www.tcatnashville.edu/, 340 PIPER ST, MORRISTOWN | TN 37813, (423)586-5771
Tennessee, MIDDLE TENNESSEE STATE UNIVERSITY, http://www.mtsu.edu/aerospace/, 1930 MEMORIAL BLVD |, MURFREESBORO | TN 37132, (615)898-5216
Tennessee, TENNESSEE COLLEGE OF APPLIED TECHNOLOGY -NASHVILLE, http://www.tcatnashville.edu/, 7204 COCKRILL BEND ROAD, NASHVILLE | TN 37209, (615)425-5600
Texas, TEXAS STATE TECHNICAL COLLEGE, http://www.tstc.edu/, 1717 NAVAJO TRAIL, ABILENE | TX 79601, (325)235-7333
Texas, AMARILLO COLLEGE, https://www.actx.edu/, 1310 F AVENUE, AMARILLO | TX 79111, (806)335-4352
Texas, DEL MAR COLLEGE, http://www.delmar.edu/, 101 BALDWIN BLVD, CORPUS CHRISTI | TX 78404, (361)698-1701
Texas, SKYLINE CAREER DEVELOPMENT CENTER, http://www.dallasisd.org/Page/2681, 7777 FORNEY RD, DALLAS | TX 75227, (972)502-3490
Texas, TARRANT COUNTY COLLEGE, https://www.tccd.edu/, 2301 HORIZON DRIVE, FORT WORTH | TX 76177, (817)515-7252
Texas, TEXAS STATE TECHNICAL COLLEGE, http://www.tstc.edu/, 1902 NORTH LOOP 499, HARLINGEN | TX 78550-3653, (956)364-4021
Texas, MICHICAGN INSTITUTE OF AERONAUTICS, http://www.miat.edu/, SUITE 150, HOUSTON | TX 77073, (713)401-3399
Texas, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 7651 AIRPORT BOULEVARD, HOUSTON | TX 77061, (713)644-7777
Texas, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 400 EAST AIRPORT FREEWAY, IRVING | TX 75062, (757)490-3157
Texas, LETOURNEAU UNIVERSITY, http://www.letu.edu/, 200 AIRPARK DR., LONGVIEW | TX 75603-7061, (903)233-3000
Texas, MIDLAND COLLEGE AMT, http://www.midland.edu/students/academics/academicprogram_web/aviation_maintenance_technology.php, HANGAR E, MIDLAND | TX 79711, (432)685-4677
Texas, HALLMARK COLLEGE OF AERONAUTICS, https://hallmarkuniversity.edu/aeronautics/, 8901 WETMORE RD., SAN ANTONIO | TX 78216, (210)690-9000
Texas, ST PHILIPS COLLEGE, https://www.alamo.edu/spc/, 800 QUINTANA RD, SAN ANTONIO | TX 78211, (210)486-2900
Texas, TEXAS STATE TECHNICAL COLLEGE, http://www.tstc.edu/, 3801 CAMPUS DR | BLDG 2114, WACO | TX 76705, (254)867-4851
Utah, UTAH STATE UNIVERSITY, https://www.usu.edu/, https://www.usu.edu/, LOGAN | UT 84322-6000, (435)797-2748
Utah, SALT LAKE COMMUNITY COLLEGE, http://www.slcc.edu/, 551 NORTH 2200 WEST, SALT LAKE CITY | UT 84116, (801)957-2061
Vermont, BURLINGTON TECHNICAL CENTER, http://btc.bsdvt.org/, 52 INSTITUTE ROAD, BURLINGTON | VT 05401, (802)864-8426
Virginia, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 2211 SOUTH MILITARY HIGHWAY, CHESAPEAKE | VA 23320, (757)363-2121
Virginia, LIBERTY UNIVERSITY, http://www.liberty.edu/, 939 AIRPORT ROAD, LYNCHBURG | VA 24502, (434)582-2183
Virginia, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 10640 DAVIDSON PLACE, MANASSAS | VA 20109, (703)257-5515
Virginia, BLUE RIDGE COMMUNITY COLLEGE, http://www.blueridge.edu/, HANGAR 4 EAST, WEYERS CAVE | VA 24486, (540)453-2306
Washington, EVERETT COMMUNITY COLLEGE, http://www.everettcc.edu/, BLDG C-80 | C81 PAINE FIELD, EVERETT | WA 98204, (425)388-9093
Washington, BIG BEND COMMUNITY COLLEGE, http://www.bigbend.edu/academics/programs/, BUILDING 3200, MOSES LAKE | WA 98837-3299, (509)793-2053
Washington, CLOVER PARK TECHNICAL COLLEGE, http://www.cptc.edu/, 17214 110TH AVE. E, PUYALLUP | WA 98374-9509, (253)589-5516
Washington, SOUTH SEATTLE COLLEGE, http://www.southseattle.edu/, 6000  16TH AVENUE SW, SEATTLE | WA 98106, (206)934-5311
Washington, MOODY AVIATION, http://www.moody.edu/aviation/programs/, 5701 E. RUTTER AVE, SPOKANE | WA 99212, (509)535-4051
